Real_1,Pred_1,Real_2,Pred_2,Real_3,Pred_3,Real_4,Pred_4,Real_5,Pred_5,Real_6,Pred_6,Real_7,Pred_7,Real_8,Pred_8,Real_9,Pred_9,Real_10,Pred_10,Real_11,Pred_11,Real_12,Pred_12
117269.27698732502,114003.484,116846.90847952665,113197.04,117092.16342200186,112392.02,117309.15824833814,112186.734,117496.57904142098,112116.53,117446.14053106937,112145.95,117169.46543349161,112686.68,117844.24056015006,112581.32,117174.28039401122,112707.76,117225.52740208808,112861.18,116847.62908057561,113398.51,117294.80043308112,113310.516
116846.90847952665,113770.2,117092.16342200186,113008.4,117309.15824833814,112354.6,117496.57904142098,112074.47,117446.14053106937,112038.06,117169.46543349161,112071.586,117844.24056015006,112410.04,117174.28039401122,112311.08,117225.52740208808,112348.61,116847.62908057561,112548.445,117294.80043308112,112901.69,117771.31657343563,112763.586
117092.16342200186,113790.84,117309.15824833814,113078.59,117496.57904142098,112448.11,117446.14053106937,112251.6,117169.46543349161,112158.6,117844.24056015006,112167.516,117174.28039401122,112511.44,117225.52740208808,112362.0,116847.62908057561,112402.23,117294.80043308112,112599.79,117771.31657343563,112875.31,118027.16228387582,112791.73
117309.15824833814,113663.695,117496.57904142098,113004.82,117446.14053106937,112405.74,117169.46543349161,112233.62,117844.24056015006,112116.2,117174.28039401122,112134.03,117225.52740208808,112427.43,116847.62908057561,112272.65,117294.80043308112,112315.32,117771.31657343563,112501.26,118027.16228387582,112726.84,118278.90794993407,112657.64
117496.57904142098,113627.984,117446.14053106937,113000.79,117169.46543349161,112433.45,117844.24056015006,112261.14,117174.28039401122,112129.375,117225.52740208808,112151.4,116847.62908057561,112370.72,117294.80043308112,112210.55,117771.31657343563,112247.49,118027.16228387582,112419.8,118278.90794993407,112609.52,118467.36885600089,112536.5
117446.14053106937,113606.39,117169.46543349161,112985.305,117844.24056015006,112481.664,117174.28039401122,112269.83,117225.52740208808,112134.63,116847.62908057561,112157.89,117294.80043308112,112264.99,117771.31657343563,112111.72,118027.16228387582,112127.72,118278.90794993407,112293.76,118467.36885600089,112424.09,118785.81023179082,112328.61
117169.46543349161,113633.59,117844.24056015006,113006.06,117174.28039401122,112566.766,117225.52740208808,112328.664,116847.62908057561,112175.59,117294.80043308112,112186.13,117771.31657343563,112195.55,118027.16228387582,112046.11,118278.90794993407,112038.97,118467.36885600089,112204.23,118785.81023179082,112267.62,119182.68891245346,112155.87
117844.24056015006,113631.49,117174.28039401122,112994.7,117225.52740208808,112626.164,116847.62908057561,112371.67,117294.80043308112,112192.34,117771.31657343563,112181.32,118027.16228387582,112102.62,118278.90794993407,111959.65,118467.36885600089,111925.03,118785.81023179082,112095.414,119182.68891245346,112085.76,119359.72945155788,111955.234
117174.28039401122,113666.836,117225.52740208808,112993.78,116847.62908057561,112652.9,117294.80043308112,112372.13,117771.31657343563,112164.805,118027.16228387582,112132.945,118278.90794993407,111984.48,118467.36885600089,111853.04,118785.81023179082,111794.57,119182.68891245346,111970.13,119359.72945155788,111914.08,118703.26838071554,111767.12
117225.52740208808,113726.47,116847.62908057561,113041.875,117294.80043308112,112717.12,117771.31657343563,112453.83,118027.16228387582,112198.96,118278.90794993407,112136.4,118467.36885600089,111957.3,118785.81023179082,111818.305,119182.68891245346,111740.67,119359.72945155788,111925.62,118703.26838071554,111831.46,119002.50760809887,111668.055
